Col 1;Col 2;Col 3;Col 4;Col 5;Col 6;Col 7;Col 8
56;C1CCCCCCC1.C2CCCC[CH]CC2;83.8;-11.1;3.3;19.4;18.9;10.69374053
57;CC(N(C)CC)=O.CC(N(C)C[CH2])=O;83.7;-11.2;3.3;19.4;20.1;11.8330502
58;NCCCCC.N[CH]CCCC;81.5;-13.4;2.6;26.9;20.5;9.327265969
59;NCCCCO.N[CH]CCCO;81.4;-13.5;2.6;26.4;20.6;11.19179647
60;C1CCOC1.C2CCO[CH]2;83.7;-11.2;2.9;23.4;20.2;9.410384061
1;C.[CH3];96;1.4;4.8;1.4;14.1;20.15624871
2;CCC(C)CC.[CH2]CC(C)CC;90.5;-4.1;3.9;4.5;16.8;17.64056112
3;CCC(C)CC.C[CH]C(C)CC;86.7;-7.9;3.4;6.7;22.6;14.74334745
4;CCC(C)CC.CC[C](C)CC;84.7;-9.9;3.2;7.9;27.8;14.72640468
5;CCC(C)CC.CCC([CH2])CC;90.4;-4.2;3.9;4.4;23.7;16.56877404
6;CC(OCCCC)=O.CC(O[CH]CCC)=O;88.2;-6.4;3.6;5.5;24.3;16.80220776
7;CC(OCCCC)=O.CC(OC[CH]CC)=O;88.4;-6.3;3.8;4.6;24.4;16.9615953
8;CC(OCCCC)=O.CC(OCC[CH]C)=O;87.2;-7.4;3.7;5.1;22.7;14.80358841
9;CC(OCCCC)=O.CC(OCCC[CH2])=O;91.7;-2.9;4.2;3.3;16.9;18.44691147
10;CCOCCCC.CCO[CH]CCC;84.4;-10.2;3;8.7;24.2;11.30835771
11;CC=C.[CH2]C=C;77.5;-17.1;4.2;3.2;17.1;15.67770984
12;CCC=C.C[CH]C=C;73.4;-21.2;3.8;5.0;19.8;13.09932773
13;CC(C)C=C.C[C](C)C=C;71.2;-23.4;3.6;5.8;21.7;11.59455624
14;CC1=CC=CC=C1.[CH2]C2=CC=CC=C2;81.5;-13.1;4;4.1;17.2;14.68875408
15;CCC1=CC=CC=C1.C[CH]C2=CC=CC=C2;76.7;-17.9;3.7;5.2;21.3;12.29354841
16;CC(C)C1=CC=CC=C1.C[C](C)C2=CC=CC=C2;75.8;-18.8;3.5;6.2;25.1;12.00511093
17;CCCCCC(C)=C.CCCCCC([CH2])=C;78.1;-16.5;4;3.8;20.2;14.58597735
18;CCC(C)=O.CCC([CH2])=O;86.5;-8.2;5.7;0.1;20.5;16.51118996
19;CCC(C)=O.C[CH]C(C)=O;81.8;-12.8;5.1;0.8;21.6;16.82071366
20;CCCCCC(C)=O.CCCCCC([CH2])=O;86.2;-8.4;5.6;0.1;20.5;16.10881172
21;CC(OCCCC)=O.[CH2]C(OCCCC)=O;90;-4.7;5.6;0.2;19;19.08944845
22;CC#N.[CH2]C#N;87.7;-6.9;5.9;0;17;21.1144113
23;CCC#N.C[CH]C#N;81.4;-13.2;5.2;0.6;19.8;17.05556178
24;CC(C)C#N.C[C](C)C#N;76.6;-18.1;4.8;1.5;22.2;14.71658478
25;CC.C[CH2];90.5;-4.2;4;4.1;16.5;16.14636355
26;CCC.C[CH]C;86.6;-8.1;3.4;6.5;19.2;12.93889601
27;CCC.[CH2]CC;91.3;-3.3;4;3.9;16.5;16.38111906
28;CCC1=CC=CC=C1.[CH2]CC2=CC=CC=C2;91.4;-3.2;4;4;16.8;17.17408274
29;O=C(OCC)C1=CC=CC=C1.O=C(OC[CH2])C2=CC=CC=C2;94;-0.6;4.9;1.2;16.8;20.98388608
30;O=C(OCC)C1=CC=CC=C1.O=C(O[CH]C)C2=CC=CC=C2;87.7;-6.9;3.8;4.8;20.5;14.94096478
31;O=C(OCC)CC1=CC=CC=C1.O=C(OCC)[CH]C2=CC=CC=C2;77.8;-16.8;4.7;1.7;21.7;18.22312446
32;COCC1=CC=CC=C1.CO[CH]C2=CC=CC=C2;72.5;-22.1;3.2;7.5;23.4;11.01891621
33;COCC1=CC=CC=C1.[CH2]OCC2=CC=CC=C2;85.3;-9.3;3.5;6.2;18;12.52243017
34;O=C(NC)C1=CC=CC=C1.O=C(N[CH2])C2=CC=CC=C2;82.9;-11.7;3.7;5.4;17.9;13.99993133
