,rxn_id,G_r,DG_TS,DG_TS_tunn,dG_rxn,dG_forward,dG_reverse,fr_dG_rxn,fr_dG_forward,fr_dG_reverse,s_prod0,q_reac1,s_reac1,qH_reac0,qH_prod1,q_reac0,q_prod1,q_prod0,BV_reac1,BV_prod0
575,261792,7.855645725220177,25.985465150720124,24.454778092141545,12.318730576057078,102.83984982265096,90.52111924659388,5.306188240062426,139.01115881159834,133.7049705715359,1.1282071,-0.21529146,0.97256553,0.14018467,0.1501686,-0.3575428,-0.2600678,-0.24144824,0.49131700140751494,0.2760626456415566
178,522749,-3.895187479435638,21.84505527680716,20.09275339875259,0.6984305551074215,88.05326075080237,87.35483019569494,2.061380574710256,133.08867117255144,131.0272905978412,1.03083,-0.30866,1.0149907,0.15076561,0.14812449,-0.26237005,-0.35664865,-0.21802291,0.4658037879802735,0.4812128965925445
108,926770,-6.53900075027116,25.50472207579482,22.66197636145534,-4.359608251347069,85.7147400002311,90.07434825157817,2.9984571116335133,127.99499681133962,124.9965396997061,0.95664376,-0.31979403,0.1121425,0.14314762,0.15722373,-0.111942895,-0.09725949,-0.07708738,0.34659212909595316,0.6821811981007843
1097,300127,3.084593952601172,21.642946732186147,20.44282397870478,-3.9720998345391507,81.59524673283444,85.56734656737359,-5.5779286753618464,124.00353072071138,129.58145939607323,0.78057146,-0.06076903,0.9215104,0.14484774,0.13172853,-0.13759902,-0.09789664,-0.07483311,0.5137392742853468,0.6197667592754745
1116,492910,1.885120294440936,22.705948315757777,20.795540014183725,1.0667390282116145,88.9068947071034,87.84015567889179,0.5420048193477669,130.13934676689072,129.59734194754296,0.9440764,-0.24389125,0.97231615,0.15473868,0.1475986,-0.30609265,-0.24512298,-0.23711611,0.30275535040632306,0.2530789014342373
980,757756,1.595806321167483,21.75253161259792,19.971649997892698,0.15485318311444018,88.75017895276311,88.59532576964867,-0.8937490325171495,131.38261393528398,132.27636296780113,1.0504165,-0.22228575,1.0301254,0.16429003,0.14501737,-0.3133949,-0.21382771,-0.24604888,0.4335276977377607,0.5210202398677651
1072,332827,2.772933746456318,20.33862125610765,18.819757638673607,0.5900133445144036,103.39830567862603,102.80829233411163,2.810386581498392,136.1141532225377,133.30376664103932,0.85798764,-0.05146873,0.99703693,0.15369621,0.1430075,-0.09959633,-0.18951859,0.012211244,0.4702827024551908,0.3676190596306424
517,982209,3.651618851386825,20.35882583511095,18.97996885248412,0.803712630283016,83.10544177892798,82.30172914864497,-9.488022940619103,117.20288259040855,126.69090553102765,0.9672592,-0.40036348,0.7872204,0.2152861,0.16499095,-0.36580274,-0.5301324,-0.2046247,0.22584469371686913,0.36786620285042243
1,187451,-21.965369171234027,13.241346123590931,12.924061250249178,-23.88488009846361,68.98744136896772,92.87232146743133,-1.64430609316058,123.82247743422714,125.46678352738772,0.62959737,-0.3274406,1.0121084,0.1665729,0.23371486,-0.05474752,-0.5557573,0.12169798,0.3899384315614141,0.5630115109240398
861,31185,16.010017269104303,35.129066046095474,32.8390618528327,13.140210989475335,71.92714458117288,58.78693359169755,26.511643030246162,121.77638389030913,95.26474086006297,0.62998456,-0.18881863,0.18702844,0.17054544,0.26166514,-0.30429783,-0.26826355,-0.23022832,0.4168983372793084,0.46135952147352816
716,311930,14.177500913804856,34.2424642183195,32.422958247084324,13.384682139443541,88.95733242073966,75.57265028129612,7.099665512705158,131.7783096745266,124.67864416182145,1.0176966,-0.18158104,0.6600957,0.15116139,0.13584939,-0.307871,-0.24199389,-0.24083899,0.4093699659925027,0.5435680362357056
483,90944,10.82652701894502,32.60460323682888,30.463024228209733,10.0239234571726,80.05951521472784,70.03559175755524,2.346531475644298,125.13735108892186,122.79081961327756,0.79163516,0.020376865,0.5428797,0.14607732,0.13157693,-0.22031373,-0.15896013,-0.2009764,0.42216718521813934,0.43323709376873587
1248,76958,-6.518336581431176,18.827423852907856,16.962727782168653,-6.453957588144021,84.16551719828186,90.61947478642588,-17.36237835190171,116.52821466476756,133.89059301666927,0.92825186,-0.3239703,1.0036035,0.2402011,0.15269217,-0.4333431,-0.29806224,-0.2570004,0.48021023890108877,0.49293214179874867
1089,680295,18.717019823733576,31.28626386873964,30.62214165866748,17.033991071184786,100.85729367252554,83.82330260134076,0.16977589491364142,129.94549503602227,129.77571914110862,0.94504154,-0.26346394,0.87649226,0.17722294,0.15807137,-0.0033136422,-0.31241038,0.14321539,0.4558827633865497,0.5007130567865115
761,390489,7.7041236668960655,19.77194424474666,19.056649131692065,7.7363552302969225,100.09098706753343,92.35463183723651,2.147960580918266,129.32948064693383,127.18152006601557,0.9773064,-0.37790126,0.9988021,0.25669625,0.24269643,-0.53798234,-0.56736267,-0.354037,0.41100970174992435,0.35124766359914766
899,63059,-4.783601344417964,21.19735829709679,20.48213235375784,-2.973313104893151,78.02697516208076,81.00028826697391,5.544633519296241,126.8689467129264,121.32431319363016,0.3499309,0.06474226,0.8378224,0.15109177,0.12384878,0.045019936,-0.027330013,0.16921598,0.5876157457407599,0.4649146800130075
227,860521,-2.570970033818196,18.8013462675457,17.481138632996405,-1.7864035263174145,87.90563804604918,89.69204157236659,-0.8584483068146938,127.15122351406671,128.0096718208814,0.7415722,-0.05200382,0.7597193,0.15494597,0.13391243,-0.21977384,-0.101900935,-0.03710205,0.5529235461200328,0.5341686523284965
1411,828612,0.7998913348357679,24.50654938240803,22.10516503354077,-0.6790318389803929,84.93134843218753,85.61038027116793,-5.553053311646039,121.89688457430196,127.449937885948,0.8623665,-0.11270875,0.9226635,0.12656732,0.13212185,0.10859453,-0.11937153,0.06209493,0.43126990567123874,0.37870560384132795
161,957124,9.449670411585236,26.08518870820945,24.87594395974023,7.074379958307503,122.7209477079553,115.6465677496478,-0.9278932180625361,144.08591601597362,145.01380923403616,0.9553544,-0.49046052,0.32714936,0.21364227,0.20435296,-0.097939216,-0.12576407,-0.18943742,0.2551991124730486,0.25139091318729184
326,249649,-5.447376347997047,21.30556980069501,18.91917791647382,-7.044836486649885,85.88532460084775,92.93016108749764,3.460324648475776,130.72449158413406,127.26416693565828,0.78602594,-0.35100242,0.99100506,0.18871991,0.24771386,-0.26961216,-0.57372516,-0.14121129,0.38959191278624195,0.5284553118386003
1441,25356,-19.97955644473905,8.439642502733907,8.421297044996516,-19.165902085752265,103.76622396882519,122.93212605457745,-5.8347945941922035,138.40037660418034,144.23517119837254,1.020972,-0.29155186,0.9237848,0.13676184,0.20936923,-0.14843258,-0.15371732,-0.03348726,0.27942329750220063,0.4170454515245674
546,731401,8.515216485362133,28.68894477174773,26.733007323125868,8.58776482852754,92.28538541450749,83.69762058597995,16.288350059775865,137.4965022200934,121.20815216031752,1.057131,-0.102305494,0.9034044,0.14543922,0.12288689,-0.43543562,-0.076224536,-0.41817212,0.382511971319612,0.2827138268792264
654,879561,-3.0630604933079684,18.643914094473164,16.888948051523688,-2.1243681795410083,83.60718334019624,85.73155151973725,-2.462677508436059,125.56837455480445,128.0310520632405,0.8753383,-0.08769695,0.8477429,0.1293846,0.13285075,-0.053657316,-0.06916033,-0.11962909,0.4132495219980102,0.44113922638209074
634,1919155,-9.430654152342356,15.817935645964406,14.812826710731937,-9.36815798292632,81.87947552258309,91.24763350550941,-17.466139954684593,119.90446589406835,137.37060584875294,0.806089,-0.4311562,1.0230892,0.15272166,0.14893876,-0.083801724,-0.44873235,-0.09359538,0.39640495208541415,0.6423535038913246
572,578034,8.024877215895193,24.80106407743812,23.535451943558577,7.368119324902835,110.82723464117947,103.45911531627664,4.233467993354196,139.64312775465655,135.40965976130235,1.0058404,-0.098616645,1.0410098,0.15306066,0.14603946,-0.110624544,-0.2774246,-0.016058933,0.4917636720223435,0.4151107780097101
113,724209,-18.94244172547573,5.88047597578846,5.742682487242186,-15.43421670843091,75.25356427561053,90.68778098404144,-13.686519844716386,112.02779327732834,125.71431312204473,0.7753445,-0.33323267,0.9928809,0.21872084,0.24689132,-0.30115736,-0.56264824,-0.23307683,0.39273499841605486,0.4226436506282931
1374,391400,-13.84965751950302,15.757050465100583,14.913034839087116,-10.06800702642498,69.60732579154113,79.67533281796611,-8.429230677514624,116.06488307709091,124.49411375460554,0.42221382,-0.16120869,0.8355651,0.1530789,0.13243149,-0.15731496,-0.18999524,-0.057107423,0.489517965417318,0.46690013592222135
231,61206,15.969969987701663,34.54212936307822,32.86930317884963,15.34414440460958,89.99884838530937,74.6547039806998,10.872926526874537,132.98338551685077,122.11045898997624,1.0163848,-0.3102016,0.62071514,0.14091969,0.14846262,-0.27491695,-0.30298206,-0.23608646,0.47272947226945683,0.42764420020494626
1330,689686,-6.798824440252427,14.187294286910443,13.54746630223231,-5.57327059985947,73.07970412900292,78.65297472886239,-5.723173468513053,111.47912410158257,117.20229757009562,0.19579746,-0.13069983,0.8355973,0.25077033,0.23856995,-0.57272553,-0.26052207,-0.43526503,0.4488552685783826,0.31529664434739074
1431,147496,2.2431014657280874,24.230622241015126,22.460943164971184,0.9382268721569744,92.21305749336415,91.27483062120717,0.5451669291416863,136.94732715178216,136.40216022264048,1.018099,-0.39767322,1.0264118,0.16253398,0.15084879,-0.39915276,-0.44686615,-0.37603492,0.29512848875157777,0.35885818349279247
621,762121,7.883145317473627,26.40303307848974,24.938183245832526,5.324428559990267,91.02180279168303,85.69737423169276,5.1007741077273465,133.6599570085869,128.55918290085955,1.0180846,-0.005639502,0.96342677,0.15212813,0.14666098,-0.3823443,-0.081436336,-0.33758602,0.5422372281068143,0.5584556046874818
717,298889,0.0077058657144748,24.01572534703326,22.27522973926665,-1.4441121548424434,90.83378090652387,92.27789306136631,-0.737320601050584,136.87415161100043,137.611472212051,1.074638,-0.42214948,1.0500134,0.14298049,0.14609277,-0.4241497,-0.44635132,-0.3868851,0.3334463324060297,0.28492238911992046
1436,450170,-0.7052911583666396,24.37644618194125,22.35479468571243,1.1714358290296758,82.23149832915287,81.0600625001232,-6.914644588457662,126.1693374212779,133.08398200973556,0.8117976,-0.36479747,0.7086787,0.15572175,0.1599965,-0.35356477,-0.48000374,-0.30542958,0.3182779026319851,0.26561590905751453
315,806509,0.0305682067243802,25.150863352983134,23.120409652080344,-0.20763725271054057,87.62692755738584,87.83456481009638,1.298553088016348,132.5804025245821,131.28184943656575,1.0212901,-0.20702304,1.049068,0.14649408,0.1537651,-0.2890436,-0.31138372,-0.2677657,0.4734291557066684,0.41396798704659543
254,60068,-1.4204827602476089,20.68730272964625,19.13881781883032,0.5201769147511044,84.41475362787986,83.89457671312876,2.0350981621392634,127.46850253054467,125.4334043684054,1.019763,0.010627701,0.96363276,0.15444508,0.12805137,-0.11013374,-0.039777342,0.0019340108,0.6167881733075743,0.6528002572297034
215,443545,-4.073718260367905,15.792846185492722,14.588671002704848,-3.9582951423253547,101.90067851855679,105.85897366088214,-6.554614087573981,131.7346836597557,138.28929774732967,0.99257964,-0.02285706,1.0504456,0.15282433,0.16130768,-0.12225369,-0.24240693,0.037943047,0.5079327908532887,0.4787588665657344
1425,368416,-0.5739769062314082,21.4441723948371,19.463439678174616,1.542815809341704,86.65574758290256,85.11293177356086,-0.01854514391958162,126.97837701253627,126.99692215645585,0.90507567,-0.12117991,0.90625966,0.13238469,0.13632292,-0.11158456,-0.13327937,-0.08882578,0.42293071384750797,0.42573766839086563
414,395926,-5.915729544553811,21.093038709833152,19.25273726988269,-3.5389626295214356,76.33900920865894,79.87797183818037,3.9977213078202283,122.94649501859776,118.94877371077753,0.61086345,-0.21364702,0.8007143,0.14320815,0.13430017,-0.14743185,-0.2075493,-0.07973745,0.42187787133303584,0.42506593677194887
45,757271,33.31686423737706,43.49502470754808,42.790685592798056,32.680128893560436,109.47684000295838,76.79671110939795,26.57468496917167,143.0272932587547,116.45260828958303,0.98735017,-0.26774997,0.36928466,0.14590329,0.26640135,-0.3013251,-0.38908562,-0.035668056,0.5121915421751956,0.44338574836483274
